,category,barcode,brand,title,components,url,description,Рекомендации: для кожи головы и типа волос,Фото банки,тип волос,тип кожи,рекомендация,тип волос,тип кожи,фиксация
,Шампунь,4670042414187,PROКУДРИ,"Шампунь бессульфатный для кудрявых волос, 100 мл","Aqua, Coco Glucoside, Cocamidopropyl Betain, Sodium Cocoyl Isethionate, Glycerin, Parfum, Citrus Aurantium Bergama (Bergamot) Essential Oil,Guar Hydroxypropyltrimonium Chloride, Hydrolyzed Wheat Protein, Ethylpanthenol, Niacinamide, Ascorbic Acid, Sodium Ascorbate, Sodium Salicylate, Glycolic Acid, Lactic Acid, Ananas Sativus (Pineapple) Powder, Citrus Paradisi (Grapefruit) Peel Extract, Citrus Aurantium Fruit Extract, Aloe Barbadensis Leaf Juice Extract, Sodium Chloride, Panthenol, Cocos Nucifera (Coconut) Oil, Benzyl Alcohol, Benzoic Acid, Sorbic Acid, Citric Acid. ",,"Мягкий шампунь, основанный на бетаине. Подходит для частого применения. За счет отсутствия сульфатов, шампунь не сушит длину волос. Шампунь обладает приятным освежающим ароматом грейпфрута и зеленого чая. Наша рекомендация- комбинированное мытье. Чередовать шампунь PROКудри с сульфатным шампунем, это обеспечит лучшее очищение кожи головы.",,https://optim.tildacdn.com/stor6162-3737-4664-b532-336663626464/-/format/webp/56784185.jpg,"для кого рекомендуем через маркер ""текста"" ","для кого рекомендуем через маркер ""текста"" ",от бота - осмысленное и полезное,1,2,1
,Шампунь,4670042410813,PROКУДРИ,"Шампунь бессульфатный для кудрявых волос, 250 мл","Aqua, Coco Glucoside, Cocamidopropyl Betain, Sodium Cocoyl Isethionate, Glycerin, Parfum, Citrus Aurantium Bergama (Bergamot) Essential Oil,Guar Hydroxypropyltrimonium Chloride, Hydrolyzed Wheat Protein, Ethylpanthenol, Niacinamide, Ascorbic Acid, Sodium Ascorbate, Sodium Salicylate, Glycolic Acid, Lactic Acid, Ananas Sativus (Pineapple) Powder, Citrus Paradisi (Grapefruit) Peel Extract, Citrus Aurantium Fruit Extract, Aloe Barbadensis Leaf Juice Extract, Sodium Chloride, Panthenol, Cocos Nucifera (Coconut) Oil, Benzyl Alcohol, Benzoic Acid, Sorbic Acid, Citric Acid. ",,"Мягкий шампунь, основанный на бетаине. Подходит для частого применения. За счет отсутствия сульфатов, шампунь не сушит длину волос. Шампунь обладает приятным освежающим ароматом грейпфрута и зеленого чая. Наша рекомендация- комбинированное мытье. Чередовать шампунь PROКудри с сульфатным шампунем, это обеспечит лучшее очищение кожи головы.",,https://optim.tildacdn.com/stor6632-3365-4430-a562-613064643639/-/format/webp/30896751.jpg,,,,2,3,2
,Шампунь,4670042412336,PROКУДРИ,"Шампунь бессульфатный для кудрявых волос, 460 мл","Aqua, Coco Glucoside, Cocamidopropyl Betain, Sodium Cocoyl Isethionate, Glycerin, Parfum, Citrus Aurantium Bergama (Bergamot) Essential Oil,Guar Hydroxypropyltrimonium Chloride, Hydrolyzed Wheat Protein, Ethylpanthenol, Niacinamide, Ascorbic Acid, Sodium Ascorbate, Sodium Salicylate, Glycolic Acid, Lactic Acid, Ananas Sativus (Pineapple) Powder, Citrus Paradisi (Grapefruit) Peel Extract, Citrus Aurantium Fruit Extract, Aloe Barbadensis Leaf Juice Extract, Sodium Chloride, Panthenol, Cocos Nucifera (Coconut) Oil, Benzyl Alcohol, Benzoic Acid, Sorbic Acid, Citric Acid. ",,"Мягкий шампунь, основанный на бетаине. Подходит для частого применения. За счет отсутствия сульфатов, шампунь не сушит длину волос. Шампунь обладает приятным освежающим ароматом грейпфрута и зеленого чая. Наша рекомендация- комбинированное мытье. Чередовать шампунь PROКудри с сульфатным шампунем, это обеспечит лучшее очищение кожи головы.",,https://optim.tildacdn.com/stor3935-6136-4865-a464-386234666633/-/format/webp/34976555.jpg,,,,1,4,3
,Шампунь,4670042413845,PROКУДРИ,Очищающий шампунь для волос ПроКудри Мята 250 мл,"Aqua, Sodium Coco-Sulfate, Alkyl Polyglucoside, Sodium Chloride, Panthenol, Glycerin, Menthol, Melaleuca Alternifolia (Tea Tree) Essential Oil, Aloe Barbadensis Leaf Juice Extract, Guar Hydroxypropyltrimonium Chloride, Benzyl Alcohol, Benzoic Acid, Sorbic Acid, Citric Acid.",,"Шампунь очищающий с маслом чайного дерева и ментолом подходит для всех типов волос. Благодаря мягкому sodium coco-sulfate, не пересушивая, тщательно вымывает загрязнения с кожи головы и волос. В свою очередь, масло чайного дерева регулирует выработку кожного сала. Обладает антисептическим и противогрибковым свойством, что позволяет нормализовать баланс жирности кожи головы.
Добавленный в шампунь экстракт алоэ имеет увлажняющее действие, сохраняет влагу в волосах, а аромат мяты продлевает чувство свежести на весь день.",,https://optim.tildacdn.com/stor3435-3635-4964-a137-303464333266/-/format/webp/19287342.jpg,,,,1,5,4
,Шампунь,4670042413869,PROКУДРИ,Шампунь очищающий с маслом чайного дерева Мята 460 мл,"Aqua, Sodium Coco-Sulfate, Alkyl Polyglucoside, Sodium Chloride, Panthenol, Glycerin, Menthol, Melaleuca Alternifolia (Tea Tree) Essential Oil, Aloe Barbadensis Leaf Juice Extract, Guar Hydroxypropyltrimonium Chloride, Benzyl Alcohol, Benzoic Acid, Sorbic Acid, Citric Acid.",,"""Шампунь очищающий с маслом чайного дерева и ментолом подходит для всех типов волос. Благодаря мягкому sodium coco-sulfate, не пересушивая, тщательно вымывает загрязнения с кожи головы и волос. В свою очередь, масло чайного дерева регулирует выработку кожного сала. Обладает антисептическим и противогрибковым свойством, что позволяет нормализовать баланс жирности кожи головы.
Добавленный в шампунь экстракт алоэ имеет увлажняющее действие, сохраняет влагу в волосах, а аромат мяты продлевает чувство свежести на весь день.""",,,,,,,,
,Бальзам,4670042411513,PROКУДРИ,"Кондиционер для кудряшек, 100 мл","Aqua, Behentrimonium Methosulfate, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Cocos Nucifera (Coconut) Oil, Butyrospermum Parkii (Shea) Butter, Glycerin, Parfum, Hydrolyzed Wheat Protein, Guar Hydroxypropyltrimonium Chloride, Ethylpanthenol, Niacinamide, Ascorbic Acid, Sodium Ascorbate, Sodium Salicylate, Glycolic Acid, Lactic Acid, Ananas Sativus (Pineapple) Powder, Citrus Paradisi (Grapefruit) Peel Extract, Citrus Aurantium Fruit Extract, Panax Ginseng Root Extract, Laminaria Saccharina Extract, Aloe Barbadensis Leaf Juice Extract, Panthenol, Benzyl Alcohol, Benzoic Acid, Sorbic Acid, Citric Acid. ",,"Натуральный кондиционер, в котором не последнюю роль играют: кокосовое масло, масло ши, масло грейпфрута, протеины, алоэ, пантенол, аскорбиновая кислота, экстракты женьшеня и ламинарии. Благодаря этим компонентам кондиционер прекрасно увлажняет волосы, запечатывает кутикулу, придает упругость завиткам. Обладает освежающим ароматом грейпфрута и зеленого чая.",,https://optim.tildacdn.com/stor6162-3737-4664-b532-336663626464/-/format/webp/56784185.jpg,,,,,,
,Бальзам,4670042410806,PROКУДРИ,"Кондиционер для кудряшек, 250 мл","Aqua, Behentrimonium Methosulfate, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Cocos Nucifera (Coconut) Oil, Butyrospermum Parkii (Shea) Butter, Glycerin, Parfum, Hydrolyzed Wheat Protein, Guar Hydroxypropyltrimonium Chloride, Ethylpanthenol, Niacinamide, Ascorbic Acid, Sodium Ascorbate, Sodium Salicylate, Glycolic Acid, Lactic Acid, Ananas Sativus (Pineapple) Powder, Citrus Paradisi (Grapefruit) Peel Extract, Citrus Aurantium Fruit Extract, Panax Ginseng Root Extract, Laminaria Saccharina Extract, Aloe Barbadensis Leaf Juice Extract, Panthenol, Benzyl Alcohol, Benzoic Acid, Sorbic Acid, Citric Acid. ",,"Натуральный кондиционер, в котором не последнюю роль играют: кокосовое масло, масло ши, масло грейпфрута, протеины, алоэ, пантенол, аскорбиновая кислота, экстракты женьшеня и ламинарии. Благодаря этим компонентам кондиционер прекрасно увлажняет волосы, запечатывает кутикулу, придает упругость завиткам. Обладает освежающим ароматом грейпфрута и зеленого чая.",,https://optim.tildacdn.com/stor6463-6233-4136-a639-383164626531/-/format/webp/69299636.jpg,,,,,,
,Бальзам,4670042412510,PROКУДРИ,"Кондиционер для кудряшек, 460 мл","Aqua, Behentrimonium Methosulfate, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Cocos Nucifera (Coconut) Oil, Butyrospermum Parkii (Shea) Butter, Glycerin, Parfum, Hydrolyzed Wheat Protein, Guar Hydroxypropyltrimonium Chloride, Ethylpanthenol, Niacinamide, Ascorbic Acid, Sodium Ascorbate, Sodium Salicylate, Glycolic Acid, Lactic Acid, Ananas Sativus (Pineapple) Powder, Citrus Paradisi (Grapefruit) Peel Extract, Citrus Aurantium Fruit Extract, Panax Ginseng Root Extract, Laminaria Saccharina Extract, Aloe Barbadensis Leaf Juice Extract, Panthenol, Benzyl Alcohol, Benzoic Acid, Sorbic Acid, Citric Acid. ",,"Натуральный кондиционер, в котором не последнюю роль играют: кокосовое масло, масло ши, масло грейпфрута, протеины, алоэ, пантенол, аскорбиновая кислота, экстракты женьшеня и ламинарии. Благодаря этим компонентам кондиционер прекрасно увлажняет волосы, запечатывает кутикулу, придает упругость завиткам. Обладает освежающим ароматом грейпфрута и зеленого чая.",,https://optim.tildacdn.com/stor6535-6338-4635-b535-393431663633/-/format/webp/33236401.jpg,,,,,,
,Бальзам,4670042414477,PROКУДРИ,"Кондиционер для кудряшек, 1000 мл","Aqua, Behentrimonium Methosulfate, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Cocos Nucifera (Coconut) Oil, Butyrospermum Parkii (Shea) Butter, Glycerin, Parfum, Hydrolyzed Wheat Protein, Guar Hydroxypropyltrimonium Chloride, Ethylpanthenol, Niacinamide, Ascorbic Acid, Sodium Ascorbate, Sodium Salicylate, Glycolic Acid, Lactic Acid, Ananas Sativus (Pineapple) Powder, Citrus Paradisi (Grapefruit) Peel Extract, Citrus Aurantium Fruit Extract, Panax Ginseng Root Extract, Laminaria Saccharina Extract, Aloe Barbadensis Leaf Juice Extract, Panthenol, Benzyl Alcohol, Benzoic Acid, Sorbic Acid, Citric Acid. ",,"Натуральный кондиционер, в котором не последнюю роль играют: кокосовое масло, масло ши, масло грейпфрута, протеины, алоэ, пантенол, аскорбиновая кислота, экстракты женьшеня и ламинарии. Благодаря этим компонентам кондиционер прекрасно увлажняет волосы, запечатывает кутикулу, придает упругость завиткам. Обладает освежающим ароматом грейпфрута и зеленого чая.",,,,,,,,
,Бальзам,4670042411537,PROКУДРИ,"Маска для кудряшек, 100 мл","Aqua, Behentrimonium Methosulfate, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Cocos Nucifera (Coconut) Oil, Butyrospermum Parkii (Shea) Butter, Simmondsia Chinensis (Jojoba) Seed Oil, Glycerin, Parfum, Hydrolyzed Wheat Protein, Hydrolyzed Keratin, Guar Hydroxypropyltrimonium Chloride, Ethylpanthenol, Niacinamide, Ascorbic Acid, Sodium Ascorbate, Sodium Salicylate, Glycolic Acid, Lactic Acid, Ananas Sativus (Pineapple) Powder, Citrus Paradisi (Grapefruit) Peel Extract, Musa Acuminata (Banana) Fruit Extract, Mangifera Indica (Mango) Extract, Kiwi Juice, Apple Juice, Grapefruit Juice, Orange Juice, Panax Ginseng Root Extract, Laminaria Saccharina Extract, Aloe Barbadensis Leaf Juice Extract, Panthenol, Benzyl Alcohol, Benzoic Acid, Sorbic Acid, Citric Acid. ",,"Натуральная маска, в которой не последнюю роль играют: кокосовое масло, масло ши, масло грейпфрута, протеины, алоэ, пантенол, аскорбиновая кислота, масло жожоба. А также гидролизированный кератин, способствующий удержанию влаги в волосах, и восстановлению их структуры.
Способ применения: Нанести на чистые влажные волосы, оставить на 5-10 минут, смыть. Для усиления эффекта увлажнения и реконструкции волоса, его уплотнения, нанести маску на 30 минут и подержать волосы в тепле. Затем тщательно смыть. Так как в маске большое количество натуральных компонентов, сделайте предварительный тест на аллергию на сгибе локтя.
",,https://optim.tildacdn.com/stor6136-6362-4662-b066-653339376361/-/format/webp/11737390.jpg,,,,,,
